Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	183.70065	52.81903	240.02913	78.32206	89.77273	73.40889	28.06297	102.41228	10.25401	64000	-0.024596253	1044.866	0.0	-293.37036	0.9160841	1.9073487e-09	56.45491933822632
32	187.404	44.29861	259.89557	50.286987	90.318184	82.210075	27.723646	105.54313	2.6760345	66000	-0.058099575	503.31326	0.0	-137.90488	0.9159858	-3.9339065e-09	58.34193277359009
33	185.36444	57.34384	243.39992	25.215603	88.77273	85.1148	30.049572	110.33534	1.5308499	68000	-0.006940285	580.21655	0.0	-159.00974	0.91586655	-8.046627e-09	60.327136516571045
34	171.04625	71.8858	243.67384	14.151781	82.25	87.229904	32.517128	114.719086	4.536389	70000	-0.009165827	988.05237	0.0	-375.36237	0.91575277	-1.192093e-09	61.97485017776489
35	196.90088	48.15398	232.84386	34.516678	92.28571	83.96334	30.610218	113.45592	2.938748	72000	-0.009740754	498.20963	0.0	-153.97308	0.9156468	-4.768372e-10	63.60404706001282
36	167.60072	69.57973	231.35362	30.868065	81.333336	88.395935	31.886292	117.62139	2.9905834	74000	-0.020079583	861.7949	0.0	-331.05548	0.91554624	-5.4836278e-09	65.23300242424011
37	177.92029	66.21866	236.97044	47.241554	84.347824	82.3063	32.850662	118.42951	-14.095409	76000	0.016523095	920.11743	0.0	-201.10004	0.9154476	-7.748604e-09	66.85898852348328
38	194.40492	50.40752	234.06204	45.434654	89.045456	87.10129	31.472036	116.87316	0.51855755	78000	0.00027153015	414.92813	0.0	-75.301544	0.9153717	-2.7418139e-09	68.49191856384277
39	160.40465	69.57498	232.79193	24.005194	78.36	90.52402	33.387726	119.54202	4.9672527	80000	-0.045047868	1164.0165	0.0	-423.72876	0.91530305	6.0200693e-09	70.12397480010986
40	210.58435	41.472744	247.7151	55.5033	97.95	78.07748	29.43158	114.19882	4.868072	82000	-0.0049873157	779.9189	0.0	-548.97766	0.91521055	-6.616116e-09	71.75571823120117
41	203.4133	52.862408	241.71123	53.764633	94.7619	91.06437	36.77728	122.17873	-1.6053904	84000	-0.04234061	579.04126	0.0	-159.98477	0.91512305	3.1590464e-09	73.38739967346191
42	199.05276	55.45882	258.73752	46.980583	94.2381	89.144264	34.58314	123.185326	1.0995766	86000	-0.04810414	592.2359	0.0	-113.069	0.9150169	7.56979e-09	75.01932525634766
43	211.66289	21.89182	230.75381	143.36862	95.8	89.310135	33.482754	122.06697	1.6146624	88000	-0.067762926	174.60829	0.0	-69.85455	0.9148921	9.536744e-10	76.64576315879822
44	175.64423	69.05208	236.67935	28.40104	82.666664	94.58931	36.42632	126.26413	1.4153293	90000	-0.0395127	952.5872	0.0	-284.29047	0.91474104	5.602837e-09	78.28358745574951
45	192.26573	53.021526	232.08801	21.636717	88.454544	87.35521	32.163124	120.071625	1.318514	92000	-0.020304024	444.5858	0.0	-74.85947	0.9145883	-5.1856044e-09	79.9107015132904
46	204.1736	28.026564	234.71272	140.23895	93.666664	86.850815	32.841385	122.57799	2.458012	94000	-0.04257921	276.73752	0.0	-121.83801	0.91444284	-5.3048135e-09	81.53719067573547
47	201.26381	47.097286	254.38235	49.908165	92.28571	88.01505	36.23217	124.45628	-2.8733587	96000	0.00247316	324.00146	0.0	-108.51257	0.91428596	-5.4836278e-09	83.16377353668213
48	215.68375	34.31668	264.7322	101.77443	98.5	91.70829	35.213444	125.737495	-1.3199079	98000	-0.019447315	228.43973	0.0	-86.6629	0.914146	5.1856044e-09	84.79142475128174
49	208.1739	40.86675	243.9992	56.842693	95.7	93.50325	37.78052	128.09218	-12.085601	100000	-0.0582305	275.1323	0.0	-99.75546	0.9140075	-2.5033953e-09	86.42004156112671
50	215.13286	23.035814	247.19792	159.75394	98.95	92.267	36.05311	127.57782	2.0320296	102000	-0.023072802	107.500336	0.0	-21.283829	0.9138514	8.8214875e-09	88.1057550907135
51	214.19168	19.068432	230.23607	174.36351	97.55	89.42825	38.535534	128.74701	2.1969852	104000	0.031116068	146.31133	0.0	-70.61955	0.91369647	-1.3113023e-09	89.90931987762451
52	222.03482	17.348553	262.01254	173.68053	102.1579	93.38645	37.431446	129.18831	-0.30617213	106000	-0.031032328	70.89865	0.0	-21.398232	0.9135749	-2.1457673e-09	91.82563352584839
