Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
32	42.29787	27.795542	135.0	12.0	42.29787	18.322977	6.847634	26.16375	0.5895951	66000	-0.034662336	258.76428	0.0	-49.668472	0.6711785	1.8477441e-09	49.527515172958374
33	31.333334	17.441967	76.0	10.0	31.333334	22.05969	10.404651	32.62469	-0.034003496	68000	-0.05217226	115.993546	0.0	-30.20353	0.66715044	3.129244e-10	50.94784951210022
34	33.948277	22.255121	147.0	10.0	33.948277	17.973663	7.6650763	26.586468	0.32894722	70000	-0.042548075	161.88283	0.0	-9.967941	0.6679913	-7.003546e-10	52.37008309364319
35	41.375	27.866217	142.0	13.0	41.375	20.427309	9.24453	30.745895	0.9594724	72000	-0.034212947	253.60081	0.0	-52.43068	0.66795474	-3.4272674e-10	53.79192805290222
36	40.632652	19.218075	92.0	12.0	40.632652	24.241005	9.470272	33.432068	0.58358145	74000	-0.042065296	134.29308	0.0	-26.998924	0.6672765	-8.195639e-10	55.21349334716797
37	36.77778	20.384876	91.0	12.0	36.77778	21.13402	9.010515	31.170717	1.1633744	76000	-0.04241564	109.866005	0.0	-11.165718	0.6645701	-5.960465e-11	56.63703727722168
38	44.795456	26.53949	113.0	13.0	44.795456	20.695742	9.452825	30.93199	0.26221555	78000	-0.03919739	199.52557	0.0	-30.258026	0.6642388	-3.2782557e-10	58.05658173561096
39	48.19512	38.349625	187.0	12.0	48.19512	25.213713	8.842668	33.89888	-0.84958893	80000	-0.036624733	312.15607	0.0	-55.46524	0.6662946	-7.897616e-10	59.47714591026306
40	36.30909	17.131441	81.0	14.0	36.30909	28.03349	13.647941	42.161263	-0.31295455	82000	-0.051846247	211.6726	0.0	-118.536644	0.65960354	8.642674e-10	60.90389657020569
41	38.88	26.31246	131.0	14.0	38.88	19.013218	8.089778	28.997766	-0.8959152	84000	-0.040994946	222.7304	0.0	-44.389877	0.66029143	-6.5565114e-10	62.32217454910278
42	44.613636	25.164202	114.0	12.0	44.613636	22.239988	9.844997	35.186417	-0.057968795	86000	-0.041938424	144.42166	0.0	-13.490143	0.66131634	4.917383e-10	63.743884563446045
43	36.272728	20.74648	97.0	10.0	36.272728	23.89207	10.855672	38.05146	-0.1551246	88000	-0.051894717	118.54185	0.0	-24.454597	0.6553114	-9.2387203e-10	65.16381573677063
44	35.854546	22.39352	123.0	11.0	35.854546	20.07058	10.20457	33.183064	-2.0770662	90000	-0.05081296	169.64493	0.0	-36.510437	0.65460783	-2.6822092e-10	66.58515048027039
45	42.51064	24.012295	120.0	11.0	42.51064	19.819195	9.211929	34.5767	-1.0582654	92000	-0.04587884	170.29851	0.0	-51.75309	0.6570484	-3.874302e-10	68.00745511054993
46	45.97561	25.990137	119.0	14.0	45.97561	24.453047	11.320872	36.885544	0.21675956	94000	-0.041030824	252.90405	0.0	-41.804016	0.65550685	-2.384186e-10	69.42597818374634
47	41.638298	27.617777	166.0	12.0	41.638298	23.912634	10.325365	38.798286	-0.19098961	96000	-0.047031123	198.07002	0.0	-20.287018	0.6535557	1.4901162e-10	70.84457230567932
48	39.36	24.332497	106.0	12.0	39.36	24.223312	10.122994	41.57819	1.3140702	98000	-0.054935787	152.95609	0.0	-19.38733	0.6505583	-2.5182965e-09	72.26519107818604
49	51.81081	35.78452	149.0	13.0	51.81081	22.083206	9.739994	37.14928	-9.559451	100000	-0.035557635	351.8868	0.0	-94.83917	0.65544474	2.8312208e-10	73.68524026870728
50	45.860466	25.834518	140.0	12.0	45.860466	29.620241	11.842557	41.44632	0.43526834	102000	-0.05662379	204.82286	0.0	-36.234253	0.6476631	-6.258488e-10	75.1122670173645
51	46.279068	32.44267	178.0	13.0	46.279068	24.710098	10.14612	35.197826	0.17780018	104000	-0.048269145	235.62381	0.0	-15.335846	0.6501105	-1.3560058e-09	76.52949929237366
52	42.02174	27.236076	133.0	15.0	42.02174	27.345871	11.155416	38.828266	-0.6694355	106000	-0.05383471	209.00345	0.0	-12.608627	0.64696705	-1.3560058e-09	77.94798350334167
53	43.772728	20.598835	98.0	15.0	43.772728	24.097048	10.825622	36.32023	-0.84872204	108000	-0.06036804	125.88837	0.0	-14.684036	0.64689803	2.384186e-10	79.37133240699768
54	41.020832	26.278547	126.0	13.0	41.020832	21.260693	10.681575	34.488197	-0.6626287	110000	-0.052167863	226.27728	0.0	-41.949768	0.6397772	-2.1457673e-09	80.78950190544128
55	59.39394	37.51278	145.0	12.0	59.39394	24.652962	8.288045	34.67573	-1.1854775	112000	-0.046369288	319.88632	0.0	-61.195557	0.6477443	-4.23193e-09	82.2091794013977
56	48.8	33.369297	159.0	13.0	48.8	31.80899	11.430989	42.105766	-0.42097503	114000	-0.053880494	233.49054	0.0	-33.086075	0.64358664	9.983778e-10	83.63232445716858
57	51.025642	28.863504	173.0	14.0	51.025642	24.958551	13.343408	40.096115	-1.8139985	116000	-0.05435604	183.94975	0.0	-17.401474	0.64284694	-4.4703485e-10	85.04632067680359
58	45.302326	29.468576	136.0	10.0	45.302326	27.319098	10.703585	39.86558	1.7614169	118000	-0.047231607	206.1904	0.0	-19.378311	0.6366467	7.3015693e-10	86.46445918083191
59	55.857143	35.17397	200.0	10.0	55.857143	25.136337	10.734501	38.341854	-1.1878793	120000	-0.05006054	272.38098	0.0	-38.48912	0.63902897	-1.1026859e-09	87.89991927146912
60	47.57143	22.540064	137.0	18.0	47.57143	30.035667	11.372	42.520153	1.3455248	122000	-0.05579275	193.79007	0.0	-49.51082	0.6380452	-1.192093e-09	89.3274278640747
61	59.939392	47.663555	200.0	14.0	59.939392	22.889194	8.545318	35.854424	-0.95276964	124000	-0.049422555	533.00323	0.0	-234.4324	0.6413543	-5.811453e-10	90.74696254730225
62	57.911766	37.196117	182.0	15.0	57.911766	31.887953	13.738923	48.823902	-1.5778537	126000	-0.05489909	291.46283	0.0	-77.31	0.63773406	-8.4936624e-10	92.1656973361969
63	51.605263	23.050903	101.0	14.0	51.605263	28.83848	14.071016	46.885338	0.31240046	128000	-0.057341404	170.84106	0.0	-44.485886	0.63599175	1.1324883e-09	93.5871148109436
64	64.73333	36.069317	138.0	16.0	64.73333	26.25827	9.589258	37.035656	1.1691947	130000	-0.044539135	274.48257	0.0	-52.877396	0.6371542	-5.066395e-10	95.00841093063354
65	64.46429	43.152954	177.0	24.0	64.46429	30.457773	12.946801	45.998993	0.19404459	132000	-0.041349426	410.59332	0.0	-82.94086	0.6431074	-8.3446505e-10	96.42677140235901
66	53.142857	29.30933	120.0	13.0	53.142857	34.705395	14.357468	52.196373	1.1462963	134000	-0.058430064	256.5792	0.0	-60.38243	0.6344682	7.748604e-10	97.84604930877686
67	60.454544	30.848694	157.0	16.0	60.454544	30.150145	11.228561	46.19407	1.6966158	136000	-0.047745544	213.13914	0.0	-28.46495	0.6356382	-2.384186e-10	99.26604676246643
68	60.575756	48.457436	191.0	14.0	60.575756	28.316608	12.515818	47.708847	-0.58473235	138000	-0.05608607	402.36902	0.0	-69.496765	0.6306093	-1.3262034e-09	100.69179916381836
69	59.545456	36.445965	173.0	19.0	59.545456	35.44951	13.692667	52.193012	0.7749434	140000	-0.05730865	267.90005	0.0	-52.199173	0.6292017	5.3644184e-10	102.11639547348022
70	52.972973	28.958952	158.0	15.0	52.972973	30.172167	13.623046	48.639214	0.29644954	142000	-0.06031613	213.2017	0.0	-33.92531	0.626277	1.1324883e-09	103.60368347167969
71	66.793106	39.060852	151.0	19.0	66.793106	26.16524	9.463878	40.79981	0.9596655	144000	-0.05424367	337.63657	0.0	-103.21739	0.6325617	1.2964011e-09	105.06702208518982
72	87.86364	41.09445	177.0	19.0	87.86364	32.199345	13.480424	47.580246	-0.9986271	146000	-0.04124322	314.98975	0.0	-67.10159	0.637761	4.4703485e-10	106.53041577339172
73	76.61539	44.390816	177.0	21.0	76.61539	37.161274	13.327303	50.707333	-0.18106961	148000	-0.039180547	336.35208	0.0	-44.328888	0.6333144	-7.4505807e-10	107.9956259727478
